iso3c;region_id;country_name;income_id;city_name;composition_food_organic_waste_percent;composition_glass_percent;composition_metal_percent;composition_other_percent;composition_paper_cardboard_percent;composition_plastic_percent;composition_rubber_leather_percent;composition_wood_percent;composition_yard_garden_green_waste_percent;institutional_framework_department_dedicated_to_solid_waste_management_na;institutional_framework_environmental_assessment_for_solid_waste_management_in_the_past_5_years_na;institutional_framework_information_system_for_solid_waste_management_na;institutional_framework_performed_a_social_assessment_for_solid_waste_management_in_the_past_5_years_na;institutional_framework_unit_enforcing_solid_waste_issues_in_the_city_such_as_illegal_dumping_or_littering_na;legal_framework_long_term_integrated_solid_waste_master_plan_na;legal_framework_master_plan_is_being_implemented_na;legal_framework_solid_waste_management_rules_and_regulations_na;n_waste_pickers_number_of_waste_pickers_number_of_people;percent_informal_sector_percent_collected_by_informal_sector_percent;population_population_number_of_people;primary_collection_mode_form_of_primary_collection_na;separation_breakdonw_cans_and_metals_na;separation_breakdonw_glass_na;separation_breakdonw_organics_na;separation_breakdonw_other_na;separation_breakdonw_paper_cardboard_na;separation_breakdonw_plastics_and_packaging_na;separation_existence_of_source_separation_na;subisidies_other_subsidies_or_transfers_na;subisidies_subsidies_or_transfers_from_a_central_government_authority_na;total_msw_total_msw_generated_tons_year;transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km;transportation_transfer_station_or_colletion_point_aggregation_na;transportation_transfer_stations_operational_number;transportation_transfer_stations_operational_na;transportation_trips_per_year_na;transportation_trips_per_year_trips_year;waste_treatment_advanced_thermal_treatment_percent;waste_treatment_anaerobic_digestion_percent;waste_treatment_compost_percent;waste_treatment_controlled_landfill_percent;waste_treatment_incineration_percent;waste_treatment_landfill_unspecified_percent;waste_treatment_open_dump_percent;waste_treatment_other_percent;waste_treatment_recycling_percent;waste_treatment_sanitary_landfill_landfill_gas_system_percent;waste_treatment_unaccounted_for_percent;waste_treatment_waterways_marine_percent
NPL;SAS;Nepal;LIC;Butwal;61.13;3.71;1.56;7.85;11.38;13.46;0.91;;;;;;;;No;;Yes;;;120982.0;Centralized drop-off point;Yes;Yes;Yes;Yes;Yes;Yes;;;;9902.4500000000007;;;;;;;;;;;;;;62.7;;;37.3;
NPL;SAS;Nepal;LIC;Pokhara;56.34;4.82;4.18;4.88;17.97;9.92;1.88;;;;;;;;Yes;Yes;Yes;;;264991.0;Door-to-door collection;Yes;Yes;Yes;Yes;Yes;Yes;No;;;42745.15;;;;;;;;;;;;;;;;42.7;57.3;
NPL;SAS;Nepal;LIC;Dhankuta;48.66;0;2.37;13.84;17.12;17.85;0.16;;;;;;;;No;;Yes;;;28364.0;Door-to-door collection;Yes;Yes;Yes;Yes;Yes;Yes;No;;;2701;;;;;;;;;;;;;;;;81.1;18.9;
NPL;SAS;Nepal;LIC;Birgunj;55.08;9.72;1.23;8.58;10.91;14.46;0;;;;;;;;No;;Yes;;;139068.0;Door-to-door collection;Yes;Yes;Yes;Yes;Yes;Yes;;;;13932.05;;;;;;;;;;;;;19.65;19.65;;;60.7;
NPL;SAS;Nepal;LIC;Kathmandu;53.24;3.21;2.09;3.38;17.31;20.14;0.63;;;;;;;;Yes;No;Yes;;;1003285.0;Multiple;Yes;Yes;Yes;Yes;Yes;Yes;No;;;170141.1;26;;1.0;;;;;;;;;;;;;86.9;13.1;
NPL;SAS;Nepal;LIC;Lalitpur;57.07;1.44;0.53;6.55;18.38;15.56;0.46;;;;;;;;Yes;;Yes;;;226728.0;Multiple;Yes;Yes;Yes;Yes;Yes;Yes;No;;;30769.5;43;;1.0;;;;;;;;;;;;;71.2;28.8;
NPL;SAS;Nepal;LIC;Badimalika;51.06;10.57;0.24;18.17;12.97;6.87;0.11;;;;;;;;No;;Yes;;;18207.0;Centralized drop-off point;Yes;Yes;Yes;Yes;Yes;Yes;;;;872.35;0.5;;;;;;;;;;;;100;;;;;
NPL;SAS;Nepal;LIC;Bharatpur;74.23;3.59;1.58;2.81;11.36;5.61;0.82;;;No;;;;;;;Yes;;;147777.0;Door-to-door collection;Yes;Yes;Yes;Yes;Yes;Yes;No;;;21578.799999999999;;;;;;;;;;;;;25.4;;;;74.6;
NPL;SAS;Nepal;LIC;Dharan;50.49;3.7;6.33;9.75;12.95;16.19;0.59;;;;;;;;No;;Yes;;;119915.0;Door-to-door collection;Yes;Yes;Yes;Yes;Yes;Yes;No;;;18585.8;;;;;;;;;;;;;;68.7;;;31.3;
NPL;SAS;Nepal;LIC;Bhimeshwor;51.68;0.52;0.01;26.23;11.17;8.17;2.22;;;No;;;;;;;Yes;;;23337.0;Centralized drop-off point;Yes;Yes;Yes;Yes;Yes;Yes;;;;1036.5999999999999;;;;;;;;;;;;;;;;;;
NPL;SAS;Nepal;LIC;Biratnagar;71.07;0.52;0.21;1.86;13.18;11.99;1.17;;;;;;;;No;;Yes;;;204949.0;Door-to-door collection;Yes;Yes;Yes;Yes;Yes;Yes;;;;21305.05;;;;;;;;;;;;;85.7;;;;14.3;
NPL;SAS;Nepal;LIC;Bhaktapur;62.68;1.17;2.73;8.66;11.35;13.24;0.18;;;;;;;;;;Yes;;;83658.0;Door-to-door collection;Yes;Yes;Yes;Yes;Yes;Yes;;;;10548.5;;;;;;;;;;;;;86.5;;;;13.5;
NZL;EAS;New Zealand;HIC;Auckland;55.5;1.8;2.7;17.4;10.5;11.2;0.1;0.8;;Yes;;;;;Yes;Yes;Yes;;;1414700.0;Curbside collection;;;Yes;;;;;;;226352;;;17.0;;;;;;;;;;;;;;84;
NZL;EAS;New Zealand;HIC;Wellington;19;1.5;1.3;12.2;28.0;38;;;;Yes;Yes;Yes;;;Yes;Yes;Yes;;;383000.0;;Yes;Yes;Yes;;Yes;Yes;;;;302500;;;;13;;;;;1;;;88.0;;;10.0;;1;
OMN;MEA;Oman;HIC;Muscat;;;;;;;;;;Yes;;;;;No;yes;yes;;;838000.0;Curbside collection;;;;;;;No;;;219000;;;;;;;;;;;;;;;;;;
PAK;SAS;Pakistan;LMC;Karachi;21;1.5;0.75;48;4.1;6.4;2.3;2.25;14.0;No;;;;;;;;;;14910352.0;;;;;;;;No;;;2719250;32.5;;;;;254405;;;;60;;;;40.0;;;;
PAK;SAS;Pakistan;LMC;Lahore;65;0.696;0.07;21.824;2.5;0.61;9.53;;;No;Yes;No;No;Yes;Yes;Yes;Yes;;27.0;11126285.0;Door-to-door collection;Yes;Yes;No;;Yes;Yes;No;;81000000;2436656.415;19;;5.0;;;2090621;;;;61.53;6.15;;;;;32.31;0.01;
PAK;SAS;Pakistan;LMC;Sialkot;39.7;7.8;3.4;16.3;12.9;12.8;3.1;4;;Yes;;;;;Yes;;Yes;;;809000.0;;;;;;;;;;;125000;;;;;;;;;;;;;25;;;;75;
PAN;LCN;Panama;HIC;Panamá City;45;8;5;4;26.0;12;;;;;;;;;;;Yes;;;1382667.0;;;;;;;;;;;494579.98;;;;;;;;;;;;;;;2.0;65.0;33;
PAN;LCN;Panama;HIC;San Miguelito;;;;;;;;;;;;;;;;;;;;560285.0;;;;;;;;;;;199436;;;;;;;;;;;;;;;;97.5;2.5;
PAN;LCN;Panama;HIC;Colón;;;;;;;;;;;;;;;;;;;;250802.0;;;;;;;;;;;59860;;;;;;;;;;;;;74;;;;26;
PER;LCN;Peru;UMC;Cusco;47.9;2.44;3.45;17.07;9.44;11.63;0.54;0.19;7.34;Yes;yes;;yes;;Yes;No;No;175.0;3.0;111340.0;Door-to-door collection;;;;;;;Yes;;;48563;7.5;;1.0;;;6205;;;;;;;69.6;;0.3;;;30.1
PHL;EAS;Philippines;LMC;Cebu;67;1;1;12;4.0;15;;;;Yes;;;;Yes;Yes;Yes;Yes;300.0;37.0;923000.0;Multiple;Yes;Yes;Yes;Yes;Yes;Yes;Yes;47000000.0;;229950;10;;1.0;;;;;;;;;;60;;;40.0;;
PHL;EAS;Philippines;LMC;Quezon City;53.95;1.15;0.86;25.76;8.65;9.64;;;;Yes;;;;Yes;Yes;Yes;Yes;10105.0;31.0;2940000.0;Door-to-door collection;Yes;Yes;Yes;Yes;Yes;Yes;Yes;;;944328;;;0.0;;;198925;;;;61;;;;;42.0;;;
PLW;EAS;Palau;HIC;Koror;7;2;13;7;22.0;48;;;1.0;Yes;;;None;Yes;No;;Yes;3.0;;11754.0;;Yes;Yes;Yes;;Yes;Yes;Yes;;;1369;;;;;;;;;;;;;;;;;;
PNG;EAS;Papua New Guinea;LMC;Port Moresby;29.6;7.1;9.4;12.5;11.5;18.5;11.4;;;Yes;;;;Yes;;;Yes;508.0;3.0;345000.0;Door-to-door collection;;;;;;;;;;107310;;;0.0;;;;;;;61.56;;;;36.73;1.7;;0.01;
POL;ECS;Poland;HIC;Lodzi;;;;;;;;;;;;;;;;;;;;728900.0;;;;;;;;;;;157070.6;;;;;;;;;;;;;;;;;;
POL;ECS;Poland;HIC;Kraków;29.22;8.53;2.25;24.93;20.48;14.59;;;;;;;;;;;;;;741208.0;;Yes;Yes;;;Yes;Yes;;;;320500;;;;;;;;;;;;;;;33.0;;80.34;
PRT;ECS;Portugal;HIC;Lisbon;41;5;1.5;24;15.0;13;;0.5;;Yes;;No;;;Yes;;Yes;;;511667.0;Other;;Yes;Yes;;Yes;Yes;Yes;;;291703.71000000002;;;;;;;;;;;;;;;21.8;;78.2;
PRT;ECS;Portugal;HIC;Guimarães;36.42;5.19;2;25.26;11.08;12.33;;0.41;;Yes;;;;;;;;;;158100.0;Door-to-door collection;Yes;Yes;;Yes;Yes;Yes;;;;56000;;;;;;;;;;;;;;;;;;
PRY;LCN;Paraguay;UMC;Asunción;37.4;3.5;1.3;23.6;10.2;4.2;0.6;;19.2;Yes;;;;;Yes;Yes;Yes;600.0;;525293.0;Door-to-door collection;;;;;;;No;;;282613;;;0.0;;;;;;;;;;92.2;;;;7.8;
PRY;LCN;Paraguay;UMC;Ciudad Del Este;57.1;1.8;1.6;1.5;11.5;10.3;0.3;;16.0;Yes;;;;;No;;No;;;337608.0;Door-to-door collection;;;;;;;No;;;157731.1;;;;;;;;;;48.8;;;;;;;51.2;
PRY;LCN;Paraguay;UMC;San Lorenzo;20;4;2;52;6.0;12;1;;3.0;Yes;;;;;No;No;Yes;;;283939.0;Door-to-door collection;;;;;;;;;;105711;;;;;;;;;;;;;58.2;;;;41.8;
PSE;MEA;West Bank and Gaza;LMC;Ramallah;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QAT;MEA;Qatar;HIC;Doha;;;;;;;;;;Yes;;No;;Yes;Yes;Yes;Yes;;;718000.0;Curbside collection;;;;;;;;;;359035.9;;;;;;;;;;;;;;;;;;
ROU;ECS;Romania;UMC;Cluj-Napoca;50.5;4.5;2.5;20;11.0;9;;2.5;;Yes;No;Yes;No;No;Yes;Yes;Yes;3226.0;;327000.0;Other;No;Yes;Yes;No;Yes;Yes;Yes;;;112194;8.5;;0.0;;;;;;;;;;;;13.72;;;
ROU;ECS;Romania;UMC;Bucharest;64.52;7.1;3.03;;13.58;9.42;;2.35;;Yes;;Yes;;Yes;Yes;Yes;Yes;;;1868000.0;Other;Yes;Yes;No;No;Yes;Yes;Yes;;;632866.62;17;;3.0;;;;;;;;;;;;9.44;;;
RUS;ECS;Russian Federation;UMC;Moscow;22;16;2;24;17.0;13;1;5;;Yes;;No;;;Yes;No;Yes;;;11461000.0;Centralized drop-off point;;;;;;;;;;5500000;34;;;;;;;;;;;;90;6.0;4.0;;;
RUS;ECS;Russian Federation;UMC;St.petersburg;23.1;6.3;3.5;21.6;29.7;5.8;3.5;6.5;;Yes;;No;;;Yes;;Yes;;;4993000.0;Centralized drop-off point;No;No;No;No;No;No;No;;;2300000;;;;;;;;;;;;80.0;;3.0;10.0;;7;
RUS;ECS;Russian Federation;UMC;Kemerovo;17;3;7;15;45.0;13;;;;Yes;;;;Yes;;;Yes;;;533000.0;Centralized drop-off point;;;;;;;Yes;;;189254;;;;;;;;;;;;;98.1;;1.9;;;
RWA;SSF;Rwanda;LIC;Kigali ;66.86;1.36;1.93;2;16.13;1.5;0.36;2.9;6.93;Yes;No;No;No;Yes;;;Yes;;;1257000.0;;;;;;;;;;;871729.5;;;;;;;;;;25;;;;;;;75;
RWA;SSF;Rwanda;LIC;Nyagatare;;;;;;;;;;Yes;No;No;No;Yes;;;Yes;;;465855.0;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;
SAU;MEA;Saudi Arabia;HIC;Jeddah;45;3;2;5;14.0;16;4;6;5.0;Yes;;;;;yes;yes;yes;;;4076000.0;Curbside collection;;;;;;;No;;;2200000;40;;;;;;;;;;;;;;;;;
SAU;MEA;Saudi Arabia;HIC;Riyadh;55.9;3.2;2.4;13;12.2;13.3;;;;Yes;;No;;Yes;Yes;Yes;Yes;;;6370000.0;Curbside collection;;;;;;;No;;;4380000;;;;;;;;;;85;;;;;;;15;
SEN;SSF;Senegal;LIC;Rufisque;;;;;;;;;;Yes;;Yes;;No;Yes;Yes;Yes;1000.0;;300000.0;Door-to-door collection;Yes;Yes;Yes;No;Yes;Yes;No;;;76650;;;;;;;;;;;;;;;;;;
SLB;EAS;Solomon Islands;LMC;Honiara;53;1.1;9.2;7.2;6.6;19.5;3.4;;;Yes;;;;;;;Yes;50.0;;78000.0;Door-to-door collection;;;;;;;No;;;29000;6;;;;;;;;;;;;;;;;;
SLE;SSF;Sierra Leone;LIC;Freetown;59.2;1.2;6.2;21.8;;0.9;;;;;;;;;;;;;;800000.0;;;;;;;;;;;163520;;;;;;;;;;;;;;;;;45;
SLV;LCN;El Salvador;LMC;San Salvador;58;2;2;8;19.0;11;;;;Yes;;;;;No;;Yes;;;1097000.0;Other;;;;;;;;;;293747;29;;;;;;;;;;;;;;;65.4;34.6;
SOM;SSF;Somalia;LIC;Hargeysa;21.2;5.2;2.5;35.2;19.9;16;;;;;;;;;;;;;;607000.0;;;;;;;;;;;80000;;;;;;;;;;;;;;;;;;
SRB;ECS;Serbia;UMC;Belgrade;30.93;6.84;2.38;14.96;22.69;14.92;0.61;;6.68;Yes;;;;Yes;Yes;;Yes;;;1392691.0;Curbside collection;Yes;No;No;;Yes;Yes;No;;200000000;781692;;;;;;;;;;;;;;;;;;
SRB;ECS;Serbia;UMC;Novi Sad;40.73;11.19;1.41;9.11;16.26;12.08;0.03;;9.17;Yes;;;;;Yes;;;;;314192.0;Centralized drop-off point;;;;;;;No;;;120773;;;;;;;;;;;;;;;2.0;;98;
SSD;SSF;South Sudan;LIC;Juba;31;5;7;25;12.0;20;;;;Yes;No;No;No;Yes;;;Yes;;;321000.0;;;;;;;;;;;130053.15;13;;;;;;;;;;;;;;;;;
SVK;ECS;Slovak Republic;HIC;Trnava;42.35;32.58;;14.7;4.36;5.78;0.24;;;Yes;;Yes;;;Yes;;Yes;;;65536.0;;;;;;;;;;;60816;;;;;;;;;;82.42;0.34;;0.56;6.9;9.79;;;
SVK;ECS;Slovak Republic;HIC;Bratislava;50.17;15;1;;27.0;9;;;;Yes;;;;;Yes;;Yes;;;415589.0;Curbside collection;Yes;Yes;Yes;Yes;Yes;Yes;Yes;;;140594;;;;;;;;;;32.01;41.02;;0.43;16.73;9.81;;;
SVN;ECS;Slovenia;HIC;Ljubljana;;;;;;;;;;Yes;;;;;Yes;;Yes;;;309261.0;Other;Yes;Yes;Yes;Yes;Yes;Yes;Yes;;;98410;;;;;;;;;;;;39.0;;;61.0;;;
SWE;ECS;Sweden;HIC;Borås;11;4;4.2;48.2;10.0;0.7;;10;5.0;Yes;;;;;Yes;;Yes;0.0;;106000.0;Curbside collection;Yes;Yes;Yes;;Yes;Yes;Yes;;;25500;;;;;;;;;;1;55;;;15.5;29.0;;;
SWE;ECS;Sweden;HIC;Stockholm;37.6;4.5;2;18;24.8;10.2;;0.2;2.8;Yes;;;;;;;;;;897700.0;Other;Yes;Yes;Yes;;Yes;Yes;Yes;;;399133;;;;;;;;;;3;71.1;;;5.0;21.0;;;
SYR;MEA;Syrian Arab Republic;LIC;Damascus;57.3;2.9;4;22.3;6.6;6.9;;;;No;;No;;No;;;;;;2566000.0;;;;;;;;;;;1095000;;;;;;;;;;;;;;;;;;
TGO;SSF;Togo;LIC;Lome;38;;;36;;;;26;;;;;;;;;;;;956000.0;Door-to-door collection;;;;;;;No;;;311000;;;;;;;;;;;;;;;;;;
THA;EAS;Thailand;UMC;Bangkok;42.72;2.7;1.15;6.41;15.18;25.01;0.83;;5.99;Yes;;Yes;;Yes;Yes;Yes;Yes;;;9270000.0;Door-to-door collection;Yes;Yes;Yes;Yes;Yes;Yes;Yes;;;4190000;;;3.0;;;;;;48.7;;;;;;11.85;39.45;;
TJK;ECS;Tajikistan;LIC;Dushanbe ;;;;;;;;;;Yes;;No;;Yes;No;No;Yes;;;679400.0;Centralized drop-off point;;;;;;;;;;257000;;;;;;;;;;;;;;;;;;
TJK;ECS;Tajikistan;LIC;Khujand;4.5;;5;55.5;25.0;10;;;;Yes;;No;;Yes;No;No;Yes;;;144865.0;;;;;;;;;;;51974;;;;;;;;;;;;;;;;;;
TKM;ECS;Turkmenistan;UMC;Ashgabat;19;4;3;34;7.0;3;1;1;28.0;;;;;;No;No;Yes;;;746000.0;;;;;;;;;;;164000;;;;;;;;;;;;;;;;;;
TLS;EAS;Timor-Leste;LMC;Dili;12;2;1;17;18.0;18;;;33.0;Yes;;;;;;;Yes;;;234331.0;Door-to-door collection;;;;;;;;;;54750;25;;0.0;;;;;;;;;;;;;;;
TON;EAS;Tonga;UMC;Tongatapu;51.3;5.9;9;8.9;7.4;13.4;4.1;;;Yes;;;;Yes;;;;;;69211.0;Door-to-door collection;Yes;Yes;Yes;;Yes;Yes;Yes;;500000;10950;;;;;;;;;;;;;;;;;;
TON;EAS;Tonga;UMC;Vava’u;51.3;5.9;9;8.9;7.4;13.4;4.1;;;Yes;;;;;;;Yes;;;14936.0;;;;;;;;;;;5515;;;;;;;;;1.5;27.4;;;;12.3;5.1;;53.7;
TUN;MEA;Tunisia;LMC;Tunis;46.7;2.48;2.8;17;21.31;10.15;;;;Yes;No;No;No;Yes;No;No;Yes;300.0;;700000.0;Curbside collection;;;;;;;Yes;;;220000;15;;8.0;;;;;;;;;;4;;3.0;93.0;;
TUN;MEA;Tunisia;LMC;Sfax;68;2;4;5;10.0;11;;;;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;;;300000.0;Curbside collection;;;;;;;Yes;;;77000;40;;2.0;;;;;;;;;;;;2.0;98.0;;
TUN;MEA;Tunisia;LMC;Sousse;65;3;2;12;9.0;9;;;;;;;;;;;;150.0;6.0;170000.0;;;;;;;;;;;70000;;;;;;;;;;63;;;;;6.0;;;
TUR;ECS;Turkey;UMC;Sakarya Mm;40.6;4.4;2.4;24.5;11.8;15.9;;;0.5;;;;;;;;;;;925662.0;;;;;;;;Yes;;;358139;;;0.0;;;;;;;;;;;;2.49;;97.51;
TUR;ECS;Turkey;UMC;Bursa Mm (Metropolitan Municipality);39.4;4.9;0.5;21.3;18.5;15.5;;;;;;;;;Yes;Yes;;;;2764826.0;;;;;;;;;;;1069711;;;;0;;;;;;;;;;;;;;
TUV;EAS;Tuvalu;UMC;Funafuti;52.4;9.5;9.8;8.5;10.4;9.3;;;;Yes;;;;Yes;No;;Yes;;;6000.0;Door-to-door collection;;;Yes;;Yes;;No;;;;;;0.0;;;;;;;;;;;;;;;
TZA;SSF;Tanzania;LIC;Dar Es Salaam;45;2.9;1.7;18.5;4.1;2;1;;25.1;No;;No;;;;;;;;4364541.0;Multiple;;;;;;;No;;;1496500;40;;;;;;;;;;;;;18.0;13.0;28.0;41;
TZA;SSF;Tanzania;LIC;Moshi;65;3;2;12;9.0;9;;;;;;;;;;;;;;183520.0;;;;;;;;;;;62050;;;;;;;;;20;49;;;;;;;31;
TZA;SSF;Tanzania;LIC;Mountain Kilimanjaro;55;1;8;3;9.0;24;;;;;;;;;;;;;;210000.0;;;;;;;;;;;50000;;;;;;;;;;;;;;;;;;
UGA;SSF;Uganda;LIC;Kampala;73.8;0.9;3.1;7.2;5.5;1.6;;;8.0;;;;;;;;;380.0;;1936000.0;;;;;;;;;;;840000;12;;;;;;;;;100;;;;;;;;
UKR;ECS;Ukraine;LMC;Pavlograd;20.6;10.5;0.6;42.8;11.5;12.6;1.2;0.3;;Yes;;No;;No;;;Yes;;;109885.0;Other;No;No;No;Yes;No;No;No;;;84600;2;;;;;;;;;;;;;;;;;
UKR;ECS;Ukraine;LMC;Kiev;35;10;1;36;10.0;7;;1;;Yes;;;;;;;;;;2942000.0;;;;;Yes;Yes;;Yes;;;1100000;;;;;;;;;;;23;70.6;;;6.4;;;
URY;LCN;Uruguay;HIC;Montevideo;40.95;5.73;2.06;13.55;19.05;15.87;0.43;;2.35;Yes;;;;;Yes;Yes;;3188.0;15.0;1319108.0;Centralized drop-off point;Yes;Yes;Yes;;Yes;Yes;Yes;;;481800;;;0.0;;;;;;;71;;;;;29.0;;;
USA;NAC;United States;HIC;Seattle;53.8;2.3;3.1;8.8;20.3;11.5;;;;Yes;;Yes;;;Yes;Yes;Yes;;;631350.0;Curbside collection;;;;;;;;;;720904;;;;;;;;;;41.95;;;;;58.04;;;
USA;NAC;United States;HIC;Washington Dc;83.86;;0.1;15.94;0.11;;;;;Yes;;;;;;;Yes;;;693972.0;Curbside collection;Yes;Yes;Yes;;Yes;Yes;;;;479930.77;;;;;;;;;1;56;;;;;11.0;;;
USA;NAC;United States;HIC;Ann Arbor;;;;;;;;;;Yes;;;;;Yes;Yes;Yes;;;307000.0;;Yes;Yes;;Yes;Yes;Yes;;;;200767.82;;;;;;;;;;;;;;;31.0;;;
UZB;ECS;Uzbekistan;LMC;Namangan;;;;;;;;;;;;;;;;;;;;521000.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UZB;ECS;Uzbekistan;LMC;Tashkent;38.4;3.7;3.4;21;18.9;;0.8;4.9;8.9;Yes;;No;;;No;No;Yes;;;2251000.0;Centralized drop-off point;No;No;No;;No;No;No;;;500000;;;;;;;;;;;;;;;;;;
VEN;LCN;Venezuela, RB;UMC;Caracas;50;;;50;;;;;;Yes;No;Yes;;;No;;Yes;600.0;;3220540.0;Centralized drop-off point;;;;;;;;;;1787940;30;;2.0;;;;;;;;;;;;0.9;99.1;;
VNM;EAS;Vietnam;LMC;Hanoi;59.1;2.4;0.9;19.8;5.9;8.6;0.5;;2.6;Yes;;;;Yes;;;Yes;6000.0;;3629000.0;Door-to-door collection;Yes;Yes;Yes;;Yes;Yes;No;;;2390750;33;;;;;;;;2;;5.4;10.91;;;8.2;63.64;10;
VNM;EAS;Vietnam;LMC;Ho Chi Minh City;69;;0.2;10.8;3.0;16;1.1;1;;Yes;;;;Yes;;;;16000.0;;7981900.0;Door-to-door collection;;;;;;;No;;;2518500;;;32.0;;;;;;15;;;;;;;85.0;;
VUT;EAS;Vanuatu;LMC;Port Vila;62.8;7.8;4.6;9.4;6.1;7.9;1.4;;;Yes;;;;Yes;;;;20.0;;44039.0;Door-to-door collection;;;;;;;;;;27000;23;;;;;;;;;;;;;;;;;
WSM;EAS;Samoa;UMC;Upolu (Apia);3.8;2.17;8.83;26.22;7.2;13.04;;;38.7;Yes;Yes;;Yes;;;;Yes;20.0;;147184.0;Door-to-door collection;;;Yes;;;Yes;Yes;;2280000;;16.09;No;;;;104;;;;;;;;;;;;
XKX;ECS;Kosovo;LMC;Gjilan;;;;;;;;;;No;Yes;;Yes;No;Yes;Yes;Yes;100.0;;90015.0;;No;No;No;No;No;No;No;;;27000;;;;;;;;;;;;100.0;;;0.0;;;
XKX;ECS;Kosovo;LMC;Pristina;40.87;4.45;1.18;24.72;12.83;14.78;;1.17;;Yes;;;;;;;;;;210000.0;Other;;;;;;;;;;130928;;;;;;;;;;80;;;10;;10.0;;;
YEM;MEA;Yemen, Rep.;LIC;Sanaá;65;1;6;6;7.0;10;1;3;1.0;Yes;;;;Yes;No;No;Yes;;;2330689.0;Door-to-door collection;;;;;;;No;;4628571;510420.89;17;;1.0;;;89324;;;;53;;;;;12.0;;30;5.0
ZAF;SSF;South Africa;UMC;Johannesburg ;;;;;;;;;;Yes;;No;;;Yes;Yes;Yes;;;4434827.0;;;;;;;;No;;;1867000;;;;;;;;;5;;;95.0;;;;;;
ZAF;SSF;South Africa;UMC;Cape Town;47;4;14;22;7.0;6;;;;;;;;;;;;;;3430000.0;;;;;;;;;;;1251950;;;;;;;;;;;;;;;;;;
ZAF;SSF;South Africa;UMC;Soweto;9;12;3;64;9.0;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZAF;SSF;South Africa;UMC;Bloemfontein ;42.6;9.6;4.4;7.5;18.2;17.7;;;;Yes;;;;;;;;;;256185.0;;;;;;;;No;;;;;;;;;;;;;32.3;;;;;;;67.7;
ZAF;SSF;South Africa;UMC;Durban;42.5;7.1;6.9;6.8;19.3;17.4;;;;;;;;;;;;;;2739000.0;;;;;;;;;;;1421541;;;;;;;;;;;;;;;;;;
ZMB;SSF;Zambia;LMC;Ndola ;40;;;16.66;5.0;8.33;;;30.0;;;;;;;;;;;453000.0;;;;;;;;;;;85979.4;;;;;;;;;;;;;;;;;;
ZMB;SSF;Zambia;LMC;Lusaka;40;2;2;40;9.0;7;;;;;;;;;;;;480.0;2.0;1719000.0;;;;;;;;;;;530000;;;;;;;;;;26;;;;;6.0;;68;
ZWE;SSF;Zimbabwe;LIC;Kadoma City;60;3;3;22;5.0;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZWE;SSF;Zimbabwe;LIC;Mbare;28;2;12;25;6.0;11;;;16.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;10950;;;10;51;;;24;15.0;;;;
ZWE;SSF;Zimbabwe;LIC;Norton;62.3;2.7;4.9;16.2;4.8;9.1;;;;;;;;;;;;;;58421.0;;;;;;;;;;;14021.039999999999;;;;;;;;;;;;;;;;;;
ZWE;SSF;Zimbabwe;LIC;Chinhoyi;62.8;3.5;5.4;14.7;5.0;8.6;;;;;;;;;;;;;;98000.0;;;;;;;;;;;25480;;;;;;;;;;;;;;;;;;
ZWE;SSF;Zimbabwe;LIC;Harare ;22.61;6.45;;32.74;19.69;18.1;;;;Yes;;;;;;;;;;1379000.0;Door-to-door collection;;;;;;;No;;;352334.5;;;;;;10950;;;;;;;;;;;;
ZWE;SSF;Zimbabwe;LIC;Gweru;62.4;3;3.8;13.9;6.7;10.2;;;;;;;;;;;;;;157865.0;;;;;;;;;;;37887.599999999999;;;;;;;;;;;;;;;;;;
ZWE;SSF;Zimbabwe;LIC;Kariba;52;2;3;25;7.0;11;;;;;;;;;;;;;;26512.0;;;;;;;;;;;7423.3600000000006;;;;;;;;;;;;;;;;;;
ZWE;SSF;Zimbabwe;LIC;Masvingo City;15;4;5;6;30.0;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZWE;SSF;Zimbabwe;LIC;Sakubva ;32;5;6;7;27.0;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10950;;;;;;;;;;;;
