iso3c,region_id,country_name,income_id,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,other_information_information_system_for_solid_waste_management,other_information_national_agency_to_enforce_solid_waste_laws_and_regulations,other_information_national_law_governing_solid_waste_management_in_the_country,other_information_ppp_rules_and_regulations,population_population_number_of_people,special_waste_e_waste_tons_year,special_waste_hazardous_waste_tons_year,total_msw_total_msw_generated_tons_year,waste_treatment_recycling_percent,measurement,units,year,source
TLS,EAS,Timor-Leste,LMC,3344.57373046875,43.6,5.5,10.0,9.3,10.9,16.5,,Yes,Yes,Yes,1268671,3600.0,,63875.0,,special_waste_e_waste_tons_year,tonnes/year,2016.0,"Baldé, C.P., Forti V., Gray, V., Kuehr, R., Stegmann, P. 2017. ""The Global E-waste Monitor 2017- Quantities, Flows, and Resources."" United Nations University (UNU), International Telecommunication Union (ITU) and International Solid Waste Association (ISWA), Bonn/Geneva/Vienna. ISBN Printed Version: 978-92-808-9053-2. ISBN Electronic Version: 978-92-808-9054-9. ISSN 2522-7033."
TON,EAS,Tonga,UMC,5636.41845703125,51.3,5.9,9.0,8.9,7.4,13.4,,Yes,Yes,Yes,104951,300.0,,17238.20175,,waste_collection_coverage_rural_percent_of_households,Percent of waste,2012.0,"ADB (Asian Development Bank). 2014g. ""Solid Waste Management in the Pacific: Tonga Country Snapshot."" Asian Development Bank. ADB Publication Stock No. ARM146616-2. Accessed May 24, 2017 .https://www.adb.org/sites/default/files/publication/42660/solid-waste-management-tonga.pdf"
TTO,LCN,Trinidad and Tobago,HIC,28910.908203125,27.15,10.15,3.74,17.19,22.6,19.17,Yes,Yes,Yes,Yes,1328100,71.07,123914.1,727874.0,,waste_treatment_compost_percent,tonnes/year,2011.0,"Trinidad and Tobago, EMA (Environmental Management Authority). n.d. ""State of the Environment Report, 2011."" Environmental Management Authority (EMA), Government of Trinidad and Tobago."
TUN,MEA,Tunisia,LMC,10505.2626953125,68.0,2.0,4.0,5.0,10.0,11.0,Yes,Yes,Yes,Yes,11143908,90000.0,150000.0,2700000.0,4.0,special_waste_agricultural_waste_tons_year,tonnes/year,2014.0,"GIZ and SWEEP-Net. 2014h. ""Country Report on the Solid Waste Management in Tunisia."" German Corporation for International Cooperation [Deutsche Gesellschaft für Internationale Zusammenarbeit GmbH (GIZ)] and Regional Solid Waste Exchange of Information and Expertise Network in Mashreq and Maghreb Countries (SWEEP-Net), on behalf of the German Federal Ministry for Economic Cooperation and Development (BMZ). April."
TUR,ECS,Turkey,UMC,28289.087890625,64.0,2.0,1.0,24.0,6.0,3.0,,Yes,Yes,Yes,83429616,623000.0,3432426.0,35374156.0,,waste_treatment_compost_percent,tonnes/year,2015.0,"OECD (Organisation for Economic Co-operation and Development). 2017. ""Municipal Waste (Indicator)."" OECD Data, Organisation for Economic Co-operation and Development (OECD). Accessed October 24, 2017. https://data.oecd.org/waste/municipal-waste.htm."
TUV,EAS,Tuvalu,UMC,3793.127685546875,43.6,5.5,10.0,9.3,10.9,16.5,None,Yes,Yes,None,11097,10.0,,3989.4865,15.0,waste_collection_coverage_total_percent_of_waste,Percent of population,2012.0,"SPREP (Secretariat of the Pacific Regional Environment Programme). 2016. ""Cleaner Pacific 2025: Pacific Regional Waste and Pollution Management Strategy, 2016–2025."" Secretariat of the Pacific Regional Environment Programme, Apia, Samoa. https://sustainabledevelopment.un.org/content/documents/commitments/1326_7636_commitment_cleaner-pacific-strategy-2025.pdf."
TWN,EAS,,HIC,57362.92578125,23.34,4.11,3.07,14.11,30.01,20.23,,,Yes,Yes,23434000,14036.0,,7336000.0,,special_waste_e_waste_tons_year,tonnes/year,2003.0,"Song, Qingbin, Jinhui Li, and Xianlai Zeng. 2014. ""Minimizing the increasing solid waste through zero waste strategy."" Journal of Cleaner Production 104 (2015) 199-210."
TZA,SSF,Tanzania,LIC,2128.553955078125,,,,,,,,,Yes,,49082996,38000.0,,9276995.0,,special_waste_e_waste_tons_year,tonnes/year,2016.0,"Baldé, C.P., Forti V., Gray, V., Kuehr, R., Stegmann, P. 2017. ""The Global E-waste Monitor 2017- Quantities, Flows, and Resources."" United Nations University (UNU), International Telecommunication Union (ITU) and International Solid Waste Association (ISWA), Bonn/Geneva/Vienna. ISBN Printed Version: 978-92-808-9053-2. ISBN Electronic Version: 978-92-808-9054-9. ISSN 2522-7033."
UGA,SSF,Uganda,LIC,1972.3017578125,74.5,0.8,0.6,10.6,6.0,7.6,,,,,35093648,25000.0,,7045049.836,6.0,waste_collection_coverage_total_percent_of_waste,Percent of waste,2011.0,"Okot-Okumu, James and Richard Nyenje. 2011. Municipal Solid Waste Management under Decentralisation in Uganda. Habitat International. 35 (2011) 537-543."
UKR,ECS,Ukraine,LMC,11534.6376953125,37.0,5.0,4.0,22.0,25.0,7.0,Yes,Yes,Yes,Yes,45004644,277000.0,448000000.0,15242025.0,3.2,special_waste_agricultural_waste_tons_year,tonnes/year,2015.0,"GIZ (Deutsche Gesellschaft für Internationale Zusammenarbeit GmbH). 2016. ""National Waste Management Strategy for Ukraine- Preliminary Draft National Waste Management Strategy."" GIZ [Deutsche Gesellschaft für Internationale Zusammenarbeit]. Programme to Support the Green Modernisation of the Ukrainian Economy. Kiev, December."
URY,LCN,Uruguay,HIC,20588.392578125,53.5,3.0,5.0,7.5,20.0,11.0,No,Yes,Yes,Yes,3431552,37000.0,,1260139.5086500002,8.0,waste_treatment_controlled_landfill_percent,tonnes/year,2013.0,"CSI Ingenieros. 2011. ""Background Information for the Design of a Solid Waste Strategic Plan"" [""Informacion de Base para el Diseno de Un Plan Estrategico de Residuos Solidos""]. CSI Ingenieros. Pittamiglio Studio [Estudio Pittamiglio]. August. /// Anon. n.d.(d) ""Sanitary Filling of Roses"" [""RELLENO SANITARIO DE LAS ROSAS""]. Maldonado"
