iso3c,region_id,country_name,income_id,city_name,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,institutional_framework_department_dedicated_to_solid_waste_management_na,legal_framework_long_term_integrated_solid_waste_master_plan_na,legal_framework_solid_waste_management_rules_and_regulations_na,population_population_number_of_people,primary_collection_mode_form_of_primary_collection_na,separation_existence_of_source_separation_na,total_msw_total_msw_generated_tons_year,measurement,units,year,source
PAK,SAS,Pakistan,LMC,Karachi,21,1.5,0.75,48,4.1,6.4,No,,,14910352.0,,No,2719250,population_population_number_of_people,# of people,2017.0,"Pakistan, Ministry of Statistics. 2017. ""Census Quick Result."" Accessed February 2018 http://www.statistics.gov.pk/census-results.html."
PAK,SAS,Pakistan,LMC,Lahore,65,0.696,0.07,21.824,2.5,0.61,No,Yes,Yes,11126285.0,Door-to-door collection,No,2436656.415,population_population_number_of_people,# of people,2017.0,"Pakistan, Ministry of Statistics. 2017. ""Census Quick Result."" Accessed February 2018 http://www.statistics.gov.pk/census-results.html."
PAK,SAS,Pakistan,LMC,Sialkot,39.7,7.8,3.4,16.3,12.9,12.8,Yes,Yes,Yes,809000.0,,,125000,population_population_number_of_people,# of people,2010.0,"GHK Consulting Ltd. 2010. ""Sialkot Solid Waste Management Strategy and Action Plan."" TA 7321 –PAK Punjab Cities Improvement Investment Program. December."
PAN,LCN,Panama,HIC,Panamá City,45,8,5,4,26.0,12,,,Yes,1382667.0,,,494579.98,population_population_number_of_people,# of people,2014.0,"Panama Ministry of Health. 2015. ""Analysis of the health situation in Panama."" [Ministerio de Salud de Panamá. 2015. ""Análisis de la situación de salud Panamá.""]"
PAN,LCN,Panama,HIC,San Miguelito,,,,,,,,,,560285.0,,,199436,population_population_number_of_people,# of people,2010.0,"Panama Ministry of Health. 2015. ""Analysis of the health situation in Panama."" [Ministerio de Salud de Panamá. 2015. ""Análisis de la situación de salud Panamá.""]"
PAN,LCN,Panama,HIC,Colón,,,,,,,,,,250802.0,,,59860,population_population_number_of_people,# of people,2010.0,"Panama Ministry of Health. 2015. ""Analysis of the health situation in Panama."" [Ministerio de Salud de Panamá. 2015. ""Análisis de la situación de salud Panamá.""]"
PER,LCN,Peru,UMC,Cusco,47.9,2.44,3.45,17.07,9.44,11.63,Yes,Yes,No,111340.0,Door-to-door collection,Yes,48563,population_population_number_of_people,# of people,2011.0,"Lizana, Juan A. Arenas. 2012. ""Social Inclusion Plan for Segregadores in the Provinces of Cusco, Calca and Urubamba"" [“Plan de Inclusión Social para Segregadores en las Provincias de Cusco, Calca y Urubamba”]. The World Bank. October."
PHL,EAS,Philippines,LMC,Cebu,67,1,1,12,4.0,15,Yes,Yes,Yes,923000.0,Multiple,Yes,229950,population_population_number_of_people,# of people,2015.0,"Premakura, Dickella Gamaralalage Jagath, Matthew Hengesbaugh, Kazunobu Onogawa and, Nida C Cabrera. 2017. “Planning and Implementation of Integrated Solid Waste Management Strategies at Local Level: The Case of Cebu City,” International Environmental Technology Centre. May. Accessed October 10, 2017. https://pub.iges.or.jp/pub/planning-and-implementation-integrated-solid."
PHL,EAS,Philippines,LMC,Quezon City,53.95,1.15,0.86,25.76,8.65,9.64,Yes,Yes,Yes,2940000.0,Door-to-door collection,Yes,944328,population_population_number_of_people,# of people,2015.0,"Philippines, Philippine Statistics Authority. 2016. ""Highlights of the Philippine Population 2015 Census of Population."" May 19. Accessed April 20, 2017. https://www.psa.gov.ph/content/highlights-philippine-population-2015-census-population."
PLW,EAS,Palau,HIC,Koror,7,2,13,7,22.0,48,Yes,No,Yes,11754.0,,Yes,1369,population_population_number_of_people,# of people,2015.0,"Palau, MoF (Ministry of Finance). 2016. ""2015 Statistical Yearbook."" Bureau of Budget and Planning, Ministry of Finance, Republic of Palau. http://palaugov.pw/wp-content/uploads/2016/09/2015-Statistical-Yearbook-1.pdf."
PNG,EAS,Papua New Guinea,LMC,Port Moresby,29.6,7.1,9.4,12.5,11.5,18.5,Yes,,Yes,345000.0,Door-to-door collection,,107310,population_population_number_of_people,# of people,2015.0,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June."
POL,ECS,Poland,HIC,Lodzi,,,,,,,,,,728900.0,,,157070.6,population_population_number_of_people,# of people,2011.0,"Poland Statistical Office. 2016.""Lodzi Statistics."" Lodzi, Poland. [Urzad Statystyczny w Lodzi. 2016. ""Statystyka Lodzi.""] ISSN 1427-8111."
POL,ECS,Poland,HIC,Kraków,29.22,8.53,2.25,24.93,20.48,14.59,,,,741208.0,,,320500,population_population_number_of_people,# of people,2017.0,"Municipality of Krakow. 2017. ""Kraków in numbers 2016."" Krakow."
PRT,ECS,Portugal,HIC,Lisbon,41,5,1.5,24,15.0,13,Yes,Yes,Yes,511667.0,Other,Yes,291703.71000000002,population_population_number_of_people,# of people,2013.0,"European Commission. 2014h. ""Capital factsheet - Lisbon."" Assessment of separate collection schemes in the 28 capitals of the EU. Copenhagen Resource Instiute. BiPRO. 070201/ENV/2014/691401/SFRA/A."
PRT,ECS,Portugal,HIC,Guimarães,36.42,5.19,2,25.26,11.08,12.33,Yes,,,158100.0,Door-to-door collection,,56000,population_population_number_of_people,# of people,2011.0,"Population.city. 2015. ""Guimarães."" http://population.city/portugal/guimaraes/."
PRY,LCN,Paraguay,UMC,Asunción,37.4,3.5,1.3,23.6,10.2,4.2,Yes,Yes,Yes,525293.0,Door-to-door collection,No,282613,population_population_number_of_people,# of people,2010.0,"Lima Morra, Roberto Andrés. 2017. Solid waste expert and Professor, Universidad Católica Nuestra Señora de la Asunción. Personal communication with the World Bank. ///  Casati, Rosana and Roberto Andrés Lima Morra. 2010. ""Evolution and trend of the quantity, generation and composition of the Municipal Solid Waste of the City of Asunción"" [""Evolución y tendencia de la cantidad, generación y composición de los Residuos Sólidos Municipales de la Ciudad de Asunción""]. "
PRY,LCN,Paraguay,UMC,Ciudad Del Este,57.1,1.8,1.6,1.5,11.5,10.3,Yes,No,No,337608.0,Door-to-door collection,No,157731.1,population_population_number_of_people,# of people,2010.0,"Carbon Finance Assist. 2011. ""Capacity building and technical assistance to promote Paraguay's participation in the carbon market"" [""Construcción de capacidades y asistencia técnica para promover la participación de Paraguay en el mercado de carbono""]. Asunción, June."
PRY,LCN,Paraguay,UMC,San Lorenzo,20,4,2,52,6.0,12,Yes,No,Yes,283939.0,Door-to-door collection,,105711,population_population_number_of_people,# of people,2010.0,"Carbon Finance Assist. 2011. ""Capacity building and technical assistance to promote Paraguay's participation in the carbon market"" [""Construcción de capacidades y asistencia técnica para promover la participación de Paraguay en el mercado de carbono""]. Asunción, June."
QAT,MEA,Qatar,HIC,Doha,,,,,,,Yes,Yes,Yes,718000.0,Curbside collection,,359035.9,population_population_number_of_people,# of people,2015.0,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June."
ROU,ECS,Romania,UMC,Cluj-Napoca,50.5,4.5,2.5,20,11.0,9,Yes,Yes,Yes,327000.0,Other,Yes,112194,population_population_number_of_people,# of people,2015.0,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June."
ROU,ECS,Romania,UMC,Bucharest,64.52,7.1,3.03,,13.58,9.42,Yes,Yes,Yes,1868000.0,Other,Yes,632866.62,population_population_number_of_people,# of people,2015.0,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June."
RUS,ECS,Russian Federation,UMC,Moscow,22,16,2,24,17.0,13,Yes,Yes,Yes,11461000.0,Centralized drop-off point,,5500000,population_population_number_of_people,# of people,2010.0,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June."
RUS,ECS,Russian Federation,UMC,St.petersburg,23.1,6.3,3.5,21.6,29.7,5.8,Yes,Yes,Yes,4993000.0,Centralized drop-off point,No,2300000,population_population_number_of_people,# of people,2015.0,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June."
RUS,ECS,Russian Federation,UMC,Kemerovo,17,3,7,15,45.0,13,Yes,,Yes,533000.0,Centralized drop-off point,Yes,189254,population_population_number_of_people,# of people,2015.0,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June."
RWA,SSF,Rwanda,LIC,Kigali ,66.86,1.36,1.93,2,16.13,1.5,Yes,,Yes,1257000.0,,,871729.5,population_population_number_of_people,# of people,2015.0,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June."
RWA,SSF,Rwanda,LIC,Nyagatare,,,,,,,Yes,,Yes,465855.0,,,,population_population_number_of_people,# of people,,
SAU,MEA,Saudi Arabia,HIC,Jeddah,45,3,2,5,14.0,16,Yes,yes,yes,4076000.0,Curbside collection,No,2200000,population_population_number_of_people,# of people,2015.0,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June."
SAU,MEA,Saudi Arabia,HIC,Riyadh,55.9,3.2,2.4,13,12.2,13.3,Yes,Yes,Yes,6370000.0,Curbside collection,No,4380000,population_population_number_of_people,# of people,2015.0,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June."
SEN,SSF,Senegal,LIC,Rufisque,,,,,,,Yes,Yes,Yes,300000.0,Door-to-door collection,No,76650,population_population_number_of_people,# of people,2004.0,"Gret-LVIA-Pacte Research Program. 2004. Survey of 10 secondary cities in Senegal. [Gret-LVIA-Pacte et programme de recherche Ecocite (Mboro). Enquete dans 10 villes secondaires du Senegal. 2004. ""La gestion des orduresménagères dans les villes secondaires du Sénégal. Politiques municipales, pré-collecteet gestion de la filière"". Éditions du Gret.]"
SLB,EAS,Solomon Islands,LMC,Honiara,53,1.1,9.2,7.2,6.6,19.5,Yes,,Yes,78000.0,Door-to-door collection,No,29000,population_population_number_of_people,# of people,2012.0,"ADB (Asian Development Bank). 2014e. ""Solid Waste Management in the Pacific: Solomon Islands country snapshot."" ADB Publications Stock No. ARM146614-2. June. Accessed May 9, 2017. https://www.adb.org/sites/default/files/publication/42662/solid-waste-management-solomon-islands.pdf."
SLE,SSF,Sierra Leone,LIC,Freetown,59.2,1.2,6.2,21.8,,0.9,,,,800000.0,,,163520,population_population_number_of_people,# of people,2012.0,"Miezah, Kodwo, Kwasi Obiri-Danso, Zsófia Kádár, Bernard Fei-Baffoe, and Moses Y. Mensah. 2015. ""Municipal solid waste characterization and quantification as a measure towards effective waste management in Ghana."" Waste Management 46 (2015) 15–27."
SLV,LCN,El Salvador,LMC,San Salvador,58,2,2,8,19.0,11,Yes,No,Yes,1097000.0,Other,,293747,population_population_number_of_people,# of people,2015.0,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June."
SOM,SSF,Somalia,LIC,Hargeysa,21.2,5.2,2.5,35.2,19.9,16,,,,607000.0,,,80000,population_population_number_of_people,# of people,2010.0,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June."
SRB,ECS,Serbia,UMC,Belgrade,30.93,6.84,2.38,14.96,22.69,14.92,Yes,Yes,Yes,1392691.0,Curbside collection,No,781692,population_population_number_of_people,# of people,2012.0,"Anthouli, Aida, Konstantine Aravossis, Rozy Charitopoulou, Boјana Tot, and Goran Vujic. 2013. ""Opportunities and Barriers of Recycling in Balkan Countries: The Cases of Greece and Serbia."" Hellenic Solid Waste Management Association (HSWMA) and Serbian Solid Waste Management Association (SeSWA), with the International Solid Waste Association (ISWA). July."
SRB,ECS,Serbia,UMC,Novi Sad,40.73,11.19,1.41,9.11,16.26,12.08,Yes,Yes,,314192.0,Centralized drop-off point,No,120773,population_population_number_of_people,# of people,2012.0,"Anthouli, Aida, Konstantine Aravossis, Rozy Charitopoulou, Boјana Tot, and Goran Vujic. 2013. ""Opportunities and Barriers of Recycling in Balkan Countries: The Cases of Greece and Serbia."" Hellenic Solid Waste Management Association (HSWMA) and Serbian Solid Waste Management Association (SeSWA), with the International Solid Waste Association (ISWA). July."
SSD,SSF,South Sudan,LIC,Juba,31,5,7,25,12.0,20,Yes,,Yes,321000.0,,,130053.15,population_population_number_of_people,# of people,2015.0,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June."
SVK,ECS,Slovak Republic,HIC,Trnava,42.35,32.58,,14.7,4.36,5.78,Yes,Yes,Yes,65536.0,,,60816,population_population_number_of_people,# of people,2016.0,"City Population. 2017i. ""Slovakia: Regions and Major Cities."" Accessed June 9, 2017. https://citypopulation.de/Slovakia-Cities.html?cityid=466."
SVK,ECS,Slovak Republic,HIC,Bratislava,50.17,15,1,,27.0,9,Yes,Yes,Yes,415589.0,Curbside collection,Yes,140594,population_population_number_of_people,# of people,2013.0,"European Commission. 2014c. ""Capital factsheet - Bratislava."" Assessment of separate collection schemes in the 28 capitals of the EU. Copenhagen Resource Instiute. BiPRO. 070201/ENV/2014/691401/SFRA/A2."
SVN,ECS,Slovenia,HIC,Ljubljana,,,,,,,Yes,Yes,Yes,309261.0,Other,Yes,98410,population_population_number_of_people,# of people,2014.0,"European Commission. 2014i. ""Capital factsheet - Ljubljana."" Assessment of separate collection schemes in the 28 capitals of the EU. Copenhagen Resource Instiute. BiPRO. 070201/ENV/2014/691401/SFRA/A2."
SWE,ECS,Sweden,HIC,Borås,11,4,4.2,48.2,10.0,0.7,Yes,Yes,Yes,106000.0,Curbside collection,Yes,25500,population_population_number_of_people,# of people,,"CCAC (Climate and Clean Air Coalition). n.d.(c) ""Solid Waste Management City Profile: Borås.""  Municipal Solid Waste Initiative."
SWE,ECS,Sweden,HIC,Stockholm,37.6,4.5,2,18,24.8,10.2,Yes,,,897700.0,Other,Yes,399133,population_population_number_of_people,# of people,2013.0,"European Commission. 2014n. ""Capital factsheet - Stockholm."" Assessment of separate collection schemes in the 28 capitals of the EU. Copenhagen Resource Instiute. BiPRO. 070201/ENV/2014/691401/SFRA/A2."
SYR,MEA,Syrian Arab Republic,LIC,Damascus,57.3,2.9,4,22.3,6.6,6.9,No,,,2566000.0,,,1095000,population_population_number_of_people,# of people,2015.0,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June."
TGO,SSF,Togo,LIC,Lome,38,,,36,,,,,,956000.0,Door-to-door collection,No,311000,population_population_number_of_people,# of people,2015.0,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June."
THA,EAS,Thailand,UMC,Bangkok,42.72,2.7,1.15,6.41,15.18,25.01,Yes,Yes,Yes,9270000.0,Door-to-door collection,Yes,4190000,population_population_number_of_people,# of people,2015.0,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June."
TJK,ECS,Tajikistan,LIC,Dushanbe ,,,,,,,Yes,No,Yes,679400.0,Centralized drop-off point,,257000,population_population_number_of_people,# of people,2018.0,"World Population Review. 2018e. ""Population of Cities in Tajikistan."" http://worldpopulationreview.com/countries/tajikistan-population/cities/."
TJK,ECS,Tajikistan,LIC,Khujand,4.5,,5,55.5,25.0,10,Yes,No,Yes,144865.0,,,51974,population_population_number_of_people,# of people,2018.0,"World Population Review. 2018f. ""Population of Cities in Tajikistan."" http://worldpopulationreview.com/countries/tajikistan-population/cities/."
TKM,ECS,Turkmenistan,UMC,Ashgabat,19,4,3,34,7.0,3,,No,Yes,746000.0,,,164000,population_population_number_of_people,# of people,2015.0,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June."
TLS,EAS,Timor-Leste,LMC,Dili,12,2,1,17,18.0,18,Yes,,Yes,234331.0,Door-to-door collection,,54750,population_population_number_of_people,# of people,2014.0,"ADB (Asian Development Bank). 2014f. ""Solid Waste Management in the Pacific: Timor Leste country snapshot."" ADB Publications Stock No. ARM146615-2. June. Accessed May 25, 2017. https://www.adb.org/sites/default/files/publication/42661/solid-waste-management-timor-leste.pdf."
TON,EAS,Tonga,UMC,Tongatapu,51.3,5.9,9,8.9,7.4,13.4,Yes,,,69211.0,Door-to-door collection,Yes,10950,population_population_number_of_people,# of people,2012.0,"ADB (Asian Development Bank). 2014g. ""Solid Waste Management in the Pacific: Tonga country snapshot."" ADB Publications Stock No. ARM146616-2. June. Accessed May 24, 2017. https://www.adb.org/sites/default/files/publication/42660/solid-waste-management-tonga.pdf."
TON,EAS,Tonga,UMC,Vava’u,51.3,5.9,9,8.9,7.4,13.4,Yes,,Yes,14936.0,,,5515,population_population_number_of_people,# of people,2011.0,"SPREP (Secretariat of the Pacific Regional Environment Programme). 2014. ""Waste characterization report 2014."" Accessed May 22, 2017. https://www.sprep.org/j-prism/reports-a-materials. "
TUN,MEA,Tunisia,LMC,Tunis,46.7,2.48,2.8,17,21.31,10.15,Yes,No,Yes,700000.0,Curbside collection,Yes,220000,population_population_number_of_people,# of people,2012.0,"GIZ and SWEEP-Net. 2014b. ""Cost of environmental degradation due to solid waste management practices in Greater Tunis."" [""Coût de la dégradation de l’environnement due aux pratiques de gestion des déchets solidesdans le Grand Tunis""]. German Corporation for International Cooperation [Deutsche Gesellschaft für Internationale Zusammenarbeit GmbH (GIZ)] and Regional Solid Waste Exchange of Information and Expertise Network in Mashreq and Maghreb Countries (SWEEP-Net), on behalf of the German Federal Ministry for Economic Cooperation and Development (BMZ). May."
TUN,MEA,Tunisia,LMC,Sfax,68,2,4,5,10.0,11,Yes,Yes,Yes,300000.0,Curbside collection,Yes,77000,population_population_number_of_people,# of people,2013.0,"Tunisia, Governorate of Sfax. 2013. ""Community Waste Management Plan P C G D Sfax"" [""PLAN COMMUNAL DE GESTION DES DECHETS P C G D SFAX""]. GIZ (Deutsche Gesellschaft für Internationale Zusammenarbeit GmbH). ANGed (L'Agence Nationale de Gestion des Déchets). May."
TUN,MEA,Tunisia,LMC,Sousse,65,3,2,12,9.0,9,,,,170000.0,,,70000,population_population_number_of_people,# of people,2008.0,"Karak, Tanmoy, R. M. Bhagat, and Pradip Bhattacharyya. 2012. ""Municipal Solid Waste Generation, Composition, and Management: The World Scenario."" Critical Reviews in Environmental Science and Technology, 42:1509-1630. Taylor and Francis Group, LLC. ISSN: 1064-3389 print / 1547-6537 online."
TUR,ECS,Turkey,UMC,Sakarya Mm,40.6,4.4,2.4,24.5,11.8,15.9,,,,925662.0,,Yes,358139,population_population_number_of_people,# of people,2014.0,"JICA (Japan International Cooperation Agency). 2015. ""Data Collection Survey on Solid Waste Management in Turkey."" EX Research Institute Ltd. Kokusai Kogyo Co., Ltd. December. "
TUR,ECS,Turkey,UMC,Bursa Mm (Metropolitan Municipality),39.4,4.9,0.5,21.3,18.5,15.5,,Yes,,2764826.0,,,1069711,population_population_number_of_people,# of people,2014.0,"JICA (Japan International Cooperation Agency). 2015. ""Data Collection Survey on Solid Waste Management in Turkey."" EX Research Institute Ltd. Kokusai Kogyo Co., Ltd. December. "
TUV,EAS,Tuvalu,UMC,Funafuti,52.4,9.5,9.8,8.5,10.4,9.3,Yes,No,Yes,6000.0,Door-to-door collection,No,,population_population_number_of_people,# of people,2014.0,"UN DESA (United Nations Department of Economic and Social Affairs). 2014a. ""Population of Capital Cities in 2014 (thousands)."" World Urbanization Prospects: The 2014 Revision, CD-ROM Edition. Population Division, Department of Economic and Social Affairs, United Nations. June."
TZA,SSF,Tanzania,LIC,Dar Es Salaam,45,2.9,1.7,18.5,4.1,2,No,,,4364541.0,Multiple,No,1496500,population_population_number_of_people,# of people,2013.0,"SMEC. 2013. ""Consultancy Services for Improvement of Solid Waste Management in Dar es Salaam Local Authorities in Support of Preparation of the Proposed DMDP."" Final Draft Report–Vol I -Main Report. September."
TZA,SSF,Tanzania,LIC,Moshi,65,3,2,12,9.0,9,,,,183520.0,,,62050,population_population_number_of_people,# of people,2010.0,"UN Habitat. 2010. ""Solid Waste Management in the World's Cities."" United Nations Human Settlements Programme. ISBN 978-92-1-132218-7."
TZA,SSF,Tanzania,LIC,Mountain Kilimanjaro,55,1,8,3,9.0,24,,,,210000.0,,,50000,population_population_number_of_people,# of people,2006.0,"Karak, Tanmoy, R. M. Bhagat, and Pradip Bhattacharyya. 2012. ""Municipal Solid Waste Generation, Composition, and Management: The World Scenario."" Critical Reviews in Environmental Science and Technology, 42:1509-1630. Taylor and Francis Group, LLC. ISSN: 1064-3389 print / 1547-6537 online."
UGA,SSF,Uganda,LIC,Kampala,73.8,0.9,3.1,7.2,5.5,1.6,,,,1936000.0,,,840000,population_population_number_of_people,# of people,2015.0,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June."
UKR,ECS,Ukraine,LMC,Pavlograd,20.6,10.5,0.6,42.8,11.5,12.6,Yes,,Yes,109885.0,Other,No,84600,population_population_number_of_people,# of people,2013.0,"Ukraine Municipal Local Economic Development. 2014. ""Baseline report on the state of existing SWM system in Western Donbas Subregion."" Annex A. FCM (Federation of Canadian Municipalities). January."
UKR,ECS,Ukraine,LMC,Kiev,35,10,1,36,10.0,7,Yes,,,2942000.0,,Yes,1100000,population_population_number_of_people,# of people,2015.0,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June."
URY,LCN,Uruguay,HIC,Montevideo,40.95,5.73,2.06,13.55,19.05,15.87,Yes,Yes,,1319108.0,Centralized drop-off point,Yes,481800,population_population_number_of_people,# of people,2011.0,"Uruguay, INE (National Institute of Statistics). 2011. ""Population by department of habitual residence, by area and sex, Total Country."" Census 2011. [INE (Instituto Nacional de Estadística) - Censos 2011. 2011. ""Población por departamento de residencia habitual, según área y sexo. Total País.""]"
USA,NAC,United States,HIC,Seattle,53.8,2.3,3.1,8.8,20.3,11.5,Yes,Yes,Yes,631350.0,Curbside collection,,720904,population_population_number_of_people,# of people,2015.0,"Anon. n.d.(d) ""Seattle Solid Waste Plan 2011 Revision."" Chapter 2: Seattle Solid Waste Trends."
USA,NAC,United States,HIC,Washington Dc,83.86,,0.1,15.94,0.11,,Yes,,Yes,693972.0,Curbside collection,,479930.77,population_population_number_of_people,# of people,2017.0,"US Census Bureau. 2017. ""QuickFacts: Washington city, District of Columbia"
USA,NAC,United States,HIC,Ann Arbor,,,,,,,Yes,Yes,Yes,307000.0,,,200767.82,population_population_number_of_people,# of people,2010.0,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June."
UZB,ECS,Uzbekistan,LMC,Namangan,,,,,,,,,,521000.0,,,,population_population_number_of_people,# of people,2015.0,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June."
