iso3c,region_id,country_name,income_id,city_name,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,institutional_framework_department_dedicated_to_solid_waste_management_na,legal_framework_long_term_integrated_solid_waste_master_plan_na,legal_framework_solid_waste_management_rules_and_regulations_na,population_population_number_of_people,primary_collection_mode_form_of_primary_collection_na,separation_existence_of_source_separation_na,total_msw_total_msw_generated_tons_year,measurement,units,year,source
MLI,SSF,Mali,LIC,Bamako,36.2,12,14,23,12.8,16,,,,1933000.0,,,330000,population_population_number_of_people,# of people,2010.0,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June."
MLI,SSF,Mali,LIC,Sikasso,,,,,,,,,Yes,225000.0,Door-to-door collection,,46770,population_population_number_of_people,# of people,2009.0,"World Bank. 2014b. ""Results-Based Financing for Municipal Solid Waste."" Urban Development Series Knowledge Papers, No. 20. Global Urban and DRM Unit, World Bank. July."
MMR,EAS,Myanmar,LMC,Mandalay,65,2,1,11,6.0,15,Yes,Yes,Yes,1000000.0,Multiple,,343100,population_population_number_of_people,# of people,2017.0,"MCDC (Mandalay City Development Committee). 2017. ""Waste Management Strategy and Action Plan for Mandalay City (2017-2030)."" ECD (Environmental Conservation Department), Ministry of Natural Resources and Environmental Conservation (MONREC), the Republic of the Union of Myanmar. December."
MMR,EAS,Myanmar,LMC,Yangon,69,1,1,10,3.0,8,Yes,None,Yes,4802000.0,Multiple,No,723065,population_population_number_of_people,# of people,2015.0,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June."
MNE,ECS,Montenegro,UMC,Podgorica,37,11.5,2.6,17.54,13.0,15.61,,,,190392.0,Curbside collection,,87808,population_population_number_of_people,# of people,2013.0,"Montenegro, MRT (Ministry of Sustainable Development and Tourism). 2014. ""Waste Management Plan 2014 – 2020 of Montenegro."" Draft (working) Document. Version_v01. February 19."
MNE,ECS,Montenegro,UMC,Kotor,,,,,,,,,,22515.0,Curbside collection,,10121,population_population_number_of_people,# of people,2013.0,"Montenegro, MRT (Ministry of Sustainable Development and Tourism). 2014. ""Waste Management Plan 2014 – 2020 of Montenegro."" Draft (working) Document. Version_v01. February 19."
MNG,EAS,Mongolia,LMC,Ulaanbaatar,29.5,4.5,3.5,27,17.5,18,Yes,Yes,,1377000.0,Door-to-door collection,Yes,1100000,population_population_number_of_people,# of people,2015.0,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June."
MNP,EAS,Northern Mariana Islands,HIC,Saipan,,,,,,,,Yes,Yes,49000.0,,,32371.85,population_population_number_of_people,# of people,2014.0,"UN DESA (United Nations Department of Economic and Social Affairs). 2014a. ""Population of Capital Cities in 2014 (thousands)."" World Urbanization Prospects: The 2014 Revision, CD-ROM Edition. Population Division, Department of Economic and Social Affairs, United Nations. June."
MOZ,SSF,Mozambique,LIC,Maputo,68,2,4,4,12.0,10,Yes,Yes,Yes,1100000.0,Other,No,401500,population_population_number_of_people,# of people,2016.0,"Raich, Uri. 2016. ""The State of Solid Waste Management in Maputo, Mozambique."" World Bank. Maputo."
MRT,SSF,Mauritania,LMC,Nouakchott,5,4,4,59,7.0,21,Yes,,Yes,968000.0,Centralized drop-off point,No,,population_population_number_of_people,# of people,2015.0,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June."
