regionID,iso3c,country_name,city_name,incomeID,measurement,units,year,source
SSF,SSD,South Sudan,Juba,LIC,population_population_number_of_people,# of people,2015.0,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June."
ECS,SVK,Slovak Republic,Trnava,HIC,population_population_number_of_people,# of people,2016.0,"City Population. 2017i. ""Slovakia: Regions and Major Cities."" Accessed June 9, 2017. https://citypopulation.de/Slovakia-Cities.html?cityid=466."
SSF,ZMB,Zambia,Ndola ,LMC,population_population_number_of_people,# of people,2010.0,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June."
MEA,SAU,Saudi Arabia,Jeddah,HIC,population_population_number_of_people,# of people,2015.0,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June."
SSF,ZWE,Zimbabwe,Norton,LIC,population_population_number_of_people,# of people,2012.0,"GIZ (Deutsche Gesellschaft für Internationale Zusammenarbeit GmbH). 2013d. “Household, Commercial and Industrial Solid Waste Characterisation Study: Norton,” by Hailey Johnson."
SAS,NPL,Nepal,Biratnagar,LIC,population_population_number_of_people,# of people,2011.0,"ADB (Asian Development Bank). 2013b. ""Solid Waste Management in Nepal: Current Status and Policy Recommendations."" Mandaluyong City, Philippines: Asian Development Bank (ADB)."
LCN,NIC,Nicaragua,Managua,LMC,population_population_number_of_people,# of people,2010.0,"Wilson, David C., Ljiljana Rodic, Anne Scheinberg, Costas A. Velis, and Graham Alabaster. 2012. ""Comparative analysis of solid waste management in 20 cities."" Waste Management and Research, 2012, 30(3), 237-25."
LCN,VEN,"Venezuela, RB",Caracas,UMC,population_population_number_of_people,# of people,2010.0,"Metropolitan City Hall of Caracas. 2012. ""Advances of the strategic plan, Metropolitan Caracas 2020."" [Alcaldía Metropolitana de Caracas. 2012. ""Avances del plan estratégico, Caracas metropolitano 2020.""] Caracas, July."
SAS,LKA,Sri Lanka,Kurunegala,LMC,population_population_number_of_people,# of people,2016.0,"JICA (Japan International Cooperation Agency). 2016. ""Data Collection Survey on Solid Waste Management in Democratic Socialist Republic of Sri Lanka: Final Report.""  Kokusai Kogyo Co., Ltd. February."
ECS,MKD,"Macedonia, FYR",Skopje,UMC,population_population_number_of_people,# of people,2015.0,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June."
ECS,NLD,Netherlands,Eindhoven,HIC,population_population_number_of_people,# of people,2017.0,"City Population. 2018a. ""Eindhoven."" https://citypopulation.de/php/netherlands-admin.php?adm2id=0772."
SSF,ZWE,Zimbabwe,Kariba,LIC,population_population_number_of_people,# of people,2012.0,"GIZ (Deutsche Gesellschaft für Internationale Zusammenarbeit GmbH). 2013c. “Household and Commercial Solid Waste Characterisation Study: Kariba,” by Hailey Johnson."
SAS,PAK,Pakistan,Sialkot,LMC,population_population_number_of_people,# of people,2010.0,"GHK Consulting Ltd. 2010. ""Sialkot Solid Waste Management Strategy and Action Plan."" TA 7321 –PAK Punjab Cities Improvement Investment Program. December."
EAS,TUV,Tuvalu,Funafuti,UMC,population_population_number_of_people,# of people,2014.0,"UN DESA (United Nations Department of Economic and Social Affairs). 2014a. ""Population of Capital Cities in 2014 (thousands)."" World Urbanization Prospects: The 2014 Revision, CD-ROM Edition. Population Division, Department of Economic and Social Affairs, United Nations. June."
LCN,URY,Uruguay,Montevideo,HIC,population_population_number_of_people,# of people,2011.0,"Uruguay, INE (National Institute of Statistics). 2011. ""Population by department of habitual residence, by area and sex, Total Country."" Census 2011. [INE (Instituto Nacional de Estadística) - Censos 2011. 2011. ""Población por departamento de residencia habitual, según área y sexo. Total País.""]"
LCN,PER,Peru,Cusco,UMC,population_population_number_of_people,# of people,2011.0,"Lizana, Juan A. Arenas. 2012. ""Social Inclusion Plan for Segregadores in the Provinces of Cusco, Calca and Urubamba"" [“Plan de Inclusión Social para Segregadores en las Provincias de Cusco, Calca y Urubamba”]. The World Bank. October."
MEA,SYR,Syrian Arab Republic,Damascus,LMC,population_population_number_of_people,# of people,2015.0,"UN DESA (United Nations, Department of Economic and Social Affairs). 2014b. ""Population of Urban Agglomerations with 300,000 Inhabitants or More in 2014, by Country, 1950–2030 (Thousands)"" (UN Doc. No. POP/DB/WUP/Rev.2014/1/F12). In ""World Urbanization Prospects: The 2014 Revision."" Population Division, Department of Economic and Social Affairs, United Nations. June."
